	Gene
0	MED13
1	NIPBL
2	NCKAP1
3	XPO1
4	PRR12
5	SYNGAP1
6	HDAC4
7	TRIP12
8	KDM3B
9	GRIN2B
10	ATP1A3
11	ASH1L
12	MED13L
13	KMT2A
14	CREBBP
15	SIN3A
16	CHD2
17	SCN1A
18	SPEN
19	EHMT1
20	TLE3
21	UBR5
22	AHDC1
23	KMT5B
24	PHF21A
25	DYNC1H1
26	TAF4
27	CHD8
28	WAC
29	ZNF462
30	STXBP1
31	MYT1L
32	SATB2
33	CYFIP2
34	EFTUD2
35	TCF20
36	DLL1
37	NSD1
38	FBXO11
39	NOTCH1
40	ARID1B
41	RFX3
42	ANK2
43	RALGAPB
44	TBL1XR1
45	ANKRD11
46	NAA25
47	SETBP1
48	RORB
49	NRXN3
50	TLK2
51	RAI1
52	PIK3CA
53	SMARCC2
54	TSC1
55	POGZ
56	ZMYND11
57	KMT2C
58	TRAF2
59	ADNP
60	SHANK3
61	CACNA1E
62	KCNB1
63	HECTD4
64	SCN2A
65	CTNNB1
66	ZMYND8
67	PHF12
68	CTR9
69	MBD5
70	KDM6B
71	ZNF292
72	CSNK1E
73	CSDE1
74	CHD3
75	CTCF
76	ATP2B2
77	DIP2C
78	TLE4
79	SLC6A1
80	EBF3
81	MAPK8IP3
82	SETD1B
83	CASZ1
84	MARK2
85	TANC2
86	PSMD11
87	PSMD12
88	CASKIN1
89	PAX5
90	ARIH1
91	LRRC4
92	GABBR2
93	PPP1R9B
94	NACC1
95	ACVR2A
96	KIF1B
97	CELF1
98	TFAP4
99	TNRC6B
100	CELF2
101	PPP2R5D
102	FOXP1
103	PHF2
104	PAPOLA
105	LMTK3
106	MEIS2
107	PACS1
108	NAV3
109	SYK
110	PTPRF
111	CUX2
112	PRDM16
113	DSCAM
114	SKI
115	TBR1
116	KIAA0232
117	ASXL3
118	ACIN1
119	SMARCA2
120	CYLD
121	SYNCRIP
122	CACNA1D
123	DYRK1A
124	TCF4
125	AGO4
126	ITSN1
127	FEZF2
128	SPAST
129	HNRNPUL2
130	SETD5
131	HNRNPD
132	CUL3
133	INO80D
134	CELF4
135	DLG4
136	VEZF1
137	PCSK2
138	KPNA1
139	GRIA2
140	ZBTB21
141	CAMK2A
142	INTS3
143	AUTS2
144	SVEP1
145	ADCY5
146	NRXN1
147	ARHGAP32
148	PBX1
149	MRTFA
150	EXT1
151	CAMTA2
152	PLXNA1
153	PAPOLG
154	TRIM39
155	TCF7L2
156	SLC4A4
157	DPYSL2
158	TAOK1
159	QRICH1
160	EIF3G
161	KCNMA1
162	NAA15
163	RAB11FIP4
164	MYO18A
165	C16orf72
166	YWHAG
167	NF1
168	MLXIP
169	AP3D1
170	CSNK2A1
171	C3
172	SLC9A3
173	CAPRIN1
174	RUNX1T1
175	TBCEL
176	ZBTB20
177	CORO1A
178	APBB1
179	CDK13
180	CLPTM1
181	ATG13
182	DEDD
183	BRSK2
184	ZMYM2
185	PPP1CC
186	RUSC1
187	GABRB3
188	AP3B2
189	USP49
190	UBR1
191	MYB
192	DIP2A
193	KCNQ3
194	YWHAZ
195	GABRA1
196	KCNH7
197	PHLDB1
198	MSANTD2
199	SCAPER
200	ACLY
201	CTNNA2
202	BTG3
203	SRPRA
204	CELF3
205	CABP1
206	MKX
207	IRF2BPL
208	SBNO2
209	RTN4RL2
210	CPD
211	SYT1
212	SHANK2
213	ELAVL3
214	SLC6A2
215	GIGYF1
216	ANKH
217	MED23
218	AP2S1
219	PTEN
220	KCNJ6
221	DMPK
222	GOLGA4
223	TNPO3
224	SRRM3
225	STRIP1
226	ITPR3
227	KDM5B
228	MADD
229	MCOLN1
230	MEF2C
231	BTBD10
232	GATA5
233	PPARG
234	DEAF1
235	CENPV
236	ATP4A
237	GPR4
238	OBSCN
239	SRP9
240	ATG9B
241	MRFAP1
242	H3-3A
243	METTL2A
244	PRH1
245	SLC15A3
246	ROPN1
247	DNMT3A
248	PTGDR2
249	AMH
250	KIR3DL2
251	CGREF1
